raceId,driverRef,driver_overall_avg,driver_track_avg,driver_street_avg,driver_high_deg_avg
167,salo,11.666666666666666,11.875,11.875,13.2
167,herbert,14.666666666666666,13.875,13.875,14.0
167,gene,14.88888888888889,14.875,14.875,12.6
167,diniz,13.11111111111111,13.375,13.375,14.6
167,wurz,12.666666666666666,12.0,12.0,11.6
167,burti,10.5,10.5,10.5,10.5
167,mazzacane,13.666666666666666,13.0,13.0,12.2
167,zonta,12.222222222222221,11.0,11.0,11.0
167,ralf_schumacher,9.333333333333334,9.875,9.875,6.8
167,heidfeld,15.125,15.571428571428571,15.571428571428571,15.5
167,alesi,15.666666666666666,15.875,15.875,14.6
167,rosa,16.444444444444443,16.375,16.375,15.2
167,verstappen,14.666666666666666,14.0,14.0,16.4
167,frentzen,13.333333333333334,14.125,14.125,12.0
167,michael_schumacher,4.555555555555555,3.125,3.125,2.2
167,trulli,11.11111111111111,11.75,11.75,11.6
167,fisichella,6.0,5.625,5.625,5.6
168,barrichello,5.8,6.111111111111111,6.111111111111111,7.833333333333333
168,hakkinen,5.1,5.444444444444445,5.444444444444445,6.166666666666667
168,coulthard,5.0,5.444444444444445,5.444444444444445,6.333333333333333
168,button,11.4,11.777777777777779,11.777777777777779,9.0
168,salo,11.1,11.222222222222221,11.222222222222221,12.0
168,rosa,16.5,16.444444444444443,16.444444444444443,15.5
168,ralf_schumacher,9.8,10.333333333333334,10.333333333333334,8.0
168,villeneuve,10.6,11.333333333333334,11.333333333333334,12.5
168,trulli,12.1,12.777777777777779,12.777777777777779,13.166666666666666
168,irvine,12.666666666666666,12.625,12.625,15.4
168,mazzacane,13.5,12.88888888888889,12.88888888888889,12.166666666666666
168,heidfeld,15.11111111111111,15.5,15.5,15.4
168,frentzen,13.9,14.666666666666666,14.666666666666666,13.166666666666666
168,verstappen,15.0,14.444444444444445,14.444444444444445,16.666666666666668
168,zonta,12.3,11.222222222222221,11.222222222222221,11.333333333333334
168,gene,14.2,14.11111111111111,14.11111111111111,11.833333333333334
168,wurz,12.4,11.777777777777779,11.777777777777779,11.333333333333334
168,diniz,12.7,12.88888888888889,12.88888888888889,13.666666666666666
168,alesi,15.7,15.88888888888889,15.88888888888889,14.833333333333334
168,herbert,13.9,13.11111111111111,13.11111111111111,12.833333333333334
168,michael_schumacher,6.1,5.0,5.0,5.166666666666667
168,fisichella,7.6,7.444444444444445,7.444444444444445,8.333333333333334
